Date_of_Birth,Gender,Marital_Status,Number_of_Dependents,Monthly_Income,Sources_of_Income,Current_Loans,Debt_to_Income_Ratio,Property_Ownership,Employment_Status,Job_Tenure_Work_Experience,Credit_Score,Loan_Amount_Requested,Loan_Purpose,Desired_Loan_Tenure,Rent_Payment_History,Utility_Bill_Payments,Spending_Patterns,BNPL_Payment_History,Gig_Economy_Income,Behavioral_Data,Loan_Approved
1956-10-14,Female,Single,4,163509,Investments,No,0.5,Commercial_Rented,Self-Employed,1,578,43820893,Business,360,Average,Poor,Impulsive,Average,Yes,Very_Positive,0
2003-09-14,Female,Married,4,293550,Pension,No,0.61,Commercial_Rented,Retired,0,873,44799879,Medical,300,Poor,Average,Aggressive,Good,Yes,Very_Positive,0
1968-04-28,Male,Married,5,658827,Rental_Income,Yes,0.68,Joint_Ownership,Self-Employed,17,454,24524098,Education,84,Average,Poor,Impulsive,Good,Yes,Positive,0
1962-03-18,Male,Single,8,243515,Investments,No,0.47,Joint_Ownership,Government,18,813,35008165,Personal,36,N/A,N/A,Impulsive,Average,No,Very_Negative,0
1991-03-04,Female,Married,2,190786,Pension,Multiple,0.82,Commercial_Rented,Government,36,343,4655717,Home,12,Poor,Good,Aggressive,Poor,No,Neutral,0
1971-07-16,Female,Married,1,573624,Rental_Income,No,0.16,Commercial_Owned,Self-Employed,3,778,15350986,Medical,12,Average,N/A,Aggressive,N/A,No,Negative,1
1987-01-08,Female,Married,6,218000,Multiple,Multiple,0.76,Joint_Ownership,Unemployed,0,662,42594748,Vehicle,72,Average,Average,Impulsive,Good,No,Very_Positive,0
1955-07-21,Female,Married,10,923549,Investments,No,0.54,Commercial_Owned,Government,2,718,8490202,Education,24,Poor,Good,Impulsive,Average,No,Very_Negative,1
1967-05-16,Female,Single,6,508657,Investments,Multiple,0.06,Joint_Ownership,Unemployed,0,399,33665075,Home,60,Average,Poor,Impulsive,Poor,No,Very_Negative,0
1952-02-22,Female,Single,3,965746,Primary,No,0.19,Commercial_Rented,Student,0,791,3001279,Debt_Consolidation,300,Poor,Average,Cautious,N/A,Yes,Very_Positive,0
1984-10-23,Female,Married,4,454157,Multiple,Multiple,0.53,Commercial_Owned,Student,0,690,1319441,Business,96,Average,Good,Aggressive,N/A,Yes,Positive,1
1969-08-20,Male,Married,6,348593,Primary,Multiple,0.8,Rented,Unemployed,0,503,13577389,Home,12,Good,Good,Aggressive,Good,Yes,Negative,0
1964-08-22,Female,Married,4,268605,Investments,Multiple,0.51,Commercial_Owned,Unemployed,0,607,45544944,Travel,72,Poor,Good,Aggressive,Average,Yes,Very_Positive,0
2006-08-05,Male,Single,7,884710,Investments,Yes,0.31,Commercial_Owned,Self-Employed,25,865,16685814,Medical,84,N/A,Poor,Erratic,Poor,Yes,Negative,0
1952-05-07,Female,Married,6,158851,Secondary,No,0.28,Commercial_Rented,Student,0,525,5550639,Travel,300,Good,Poor,Impulsive,Good,No,Positive,0
1993-06-05,Male,Married,1,288061,Primary,Yes,0.62,Commercial_Rented,Student,0,604,26382339,Home,120,N/A,Average,Consistent,Average,No,Very_Positive,0
1991-05-06,Male,Single,2,453799,Pension,No,0.74,Joint_Ownership,Retired,0,786,15234428,Vehicle,12,Good,Poor,Consistent,Average,Yes,Very_Negative,0
1958-06-03,Male,Single,6,197370,Secondary,Multiple,0.54,Commercial_Owned,Retired,0,742,48740141,Wedding,108,Good,Poor,Aggressive,Poor,Yes,Negative,0
1985-02-09,Female,Married,7,954576,Primary,Yes,0.19,Owned,Salaried,20,823,46219188,Travel,180,N/A,Average,Impulsive,Poor,Yes,Positive,1
1981-04-18,Female,Single,10,536709,Pension,No,0.45,Rented,Government,13,766,17149721,Business,96,N/A,Good,Consistent,Poor,No,Very_Negative,1
1977-02-13,Male,Married,5,33413,Rental_Income,Yes,0.29,Rented,Unemployed,0,657,37088147,Medical,48,N/A,Average,Aggressive,Good,No,Very_Negative,0
1956-11-17,Male,Single,3,359392,Primary,Yes,0.08,Owned,Retired,0,462,13775094,Education,96,Good,N/A,Erratic,Poor,No,Neutral,1
1992-05-25,Female,Single,3,404611,Rental_Income,Yes,0.07,Owned,Unemployed,0,544,21404491,Personal,72,Average,Poor,Aggressive,N/A,No,Neutral,0
2000-09-10,Female,Married,6,534715,Rental_Income,Multiple,0.5,Commercial_Owned,Student,0,781,13379327,Vehicle,120,Average,N/A,Consistent,Poor,No,Negative,1
1965-04-08,Female,Married,0,71814,Rental_Income,Yes,0.63,Joint_Ownership,Self-Employed,37,536,40208175,Vehicle,36,Good,N/A,Cautious,Average,No,Neutral,0
1998-01-10,Male,Single,1,974152,Secondary,No,0.19,Owned,Self-Employed,14,675,24148091,Debt_Consolidation,240,Good,Good,Impulsive,Good,Yes,Positive,1
1963-10-12,Male,Married,5,61176,Rental_Income,No,0.34,Rented,Unemployed,0,533,45338908,Education,360,Poor,Average,Erratic,N/A,Yes,Very_Negative,0
1958-04-25,Male,Married,1,861637,Investments,Yes,0.9,Commercial_Rented,Retired,0,540,26574414,Home,24,N/A,Average,Cautious,N/A,No,Very_Positive,0
1983-03-10,Male,Single,0,65605,Investments,No,0.13,Joint_Ownership,Retired,0,599,19010743,Personal,48,Good,Poor,Impulsive,Average,Yes,Very_Positive,0
2007-04-22,Male,Married,0,471706,Multiple,No,0.89,Owned,Student,0,461,44569912,Travel,84,Poor,Average,Cautious,Poor,No,Neutral,0
1955-12-12,Female,Married,0,585250,Secondary,No,0.23,Owned,Salaried,10,886,20827769,Vehicle,48,Poor,Poor,Erratic,N/A,No,Very_Negative,0
1984-10-18,Female,Married,6,927241,Investments,No,0.7,Rented,Unemployed,0,553,42432977,Wedding,108,N/A,N/A,Cautious,Poor,Yes,Positive,0
1981-05-23,Male,Married,8,847773,Secondary,No,0.71,Rented,Retired,0,742,24448534,Education,120,Good,Poor,Cautious,N/A,Yes,Neutral,1
1960-01-15,Male,Married,4,276541,Multiple,No,0.88,Rented,Unemployed,0,612,32776420,Debt_Consolidation,180,Good,Good,Cautious,Good,Yes,Positive,0
1998-09-19,Female,Married,3,336658,Investments,Multiple,0.76,Rented,Salaried,31,669,23879868,Business,36,Poor,N/A,Erratic,Average,Yes,Very_Positive,0
2001-08-16,Male,Single,2,43010,Secondary,Yes,0.89,Joint_Ownership,Unemployed,0,628,4265428,Home,96,Poor,Poor,Impulsive,Average,Yes,Positive,0
1976-12-22,Male,Single,7,416933,Pension,Yes,0.72,Commercial_Owned,Retired,0,398,34700887,Education,24,N/A,N/A,Consistent,Average,Yes,Negative,0
1973-02-27,Male,Single,7,905364,Secondary,No,0.66,Rented,Unemployed,0,502,48944402,Wedding,96,N/A,Average,Aggressive,Good,Yes,Negative,0
1955-11-04,Female,Single,7,696389,Rental_Income,No,0.52,Joint_Ownership,Government,13,693,20316193,Education,300,Average,Poor,Aggressive,Average,Yes,Negative,0
1958-06-09,Male,Married,5,303645,Pension,No,0.66,Owned,Student,0,740,40219695,Education,300,Good,Poor,Aggressive,Average,No,Negative,0
1998-10-06,Male,Married,1,538054,Primary,Multiple,0.9,Rented,Government,14,815,3553561,Debt_Consolidation,240,N/A,Good,Cautious,N/A,No,Negative,1
1967-03-06,Male,Single,0,662836,Investments,Yes,0.15,Commercial_Owned,Unemployed,0,435,27160405,Debt_Consolidation,36,N/A,Average,Cautious,Average,No,Very_Negative,0
1958-01-23,Male,Single,10,142526,Primary,Multiple,0.56,Commercial_Rented,Student,0,577,11105710,Education,72,Poor,Poor,Aggressive,N/A,Yes,Positive,0
1993-08-27,Female,Married,8,444063,Investments,Yes,0.37,Rented,Retired,0,365,45829275,Debt_Consolidation,84,Poor,N/A,Aggressive,N/A,No,Neutral,0
1971-07-25,Female,Single,9,172983,Primary,No,0.16,Owned,Salaried,37,880,14486428,Education,48,N/A,Poor,Impulsive,Good,No,Very_Negative,1
1976-02-16,Male,Single,1,786798,Primary,No,0.34,Owned,Retired,0,332,40612122,Travel,24,Good,N/A,Aggressive,Poor,No,Negative,0
1973-06-08,Male,Single,6,461371,Investments,No,0.88,Joint_Ownership,Salaried,9,624,49687802,Travel,36,Good,N/A,Erratic,Good,Yes,Very_Negative,0
1959-08-19,Female,Married,0,625634,Investments,No,0.34,Owned,Unemployed,0,797,45403500,Wedding,240,N/A,Good,Aggressive,Average,No,Very_Positive,0
1983-04-18,Male,Single,9,109588,Investments,Yes,0.45,Commercial_Rented,Student,0,346,10090578,Education,24,N/A,Average,Aggressive,N/A,No,Neutral,0
1976-06-16,Female,Married,8,185999,Multiple,Multiple,0.69,Owned,Retired,0,587,41742272,Wedding,60,N/A,Good,Aggressive,Poor,No,Negative,0
1964-09-22,Female,Single,0,108563,Secondary,Yes,0.26,Rented,Retired,0,682,43861753,Education,360,Good,Average,Impulsive,Good,No,Neutral,1
1974-02-24,Female,Single,5,93868,Secondary,Yes,0.69,Owned,Government,22,428,7529993,Home,36,N/A,N/A,Impulsive,Poor,Yes,Positive,0
1957-04-24,Male,Married,5,856974,Investments,Yes,0.13,Commercial_Owned,Salaried,6,510,20579850,Education,180,N/A,N/A,Aggressive,N/A,Yes,Very_Positive,0
1976-01-13,Male,Married,7,926892,Secondary,No,0.46,Commercial_Rented,Student,0,849,8390051,Travel,60,Good,Average,Aggressive,Good,Yes,Very_Negative,0
1986-01-26,Male,Single,6,476746,Multiple,Yes,0.77,Rented,Salaried,35,427,43475258,Travel,84,Poor,Poor,Erratic,N/A,No,Very_Positive,0
1950-08-11,Male,Single,6,225203,Pension,Multiple,0.6,Owned,Student,0,376,48331776,Wedding,108,N/A,Good,Impulsive,Average,Yes,Negative,0
1996-04-20,Female,Single,3,28743,Pension,Yes,0.01,Commercial_Rented,Self-Employed,25,369,35962473,Business,60,Good,N/A,Consistent,Average,Yes,Neutral,0
1960-11-23,Male,Single,10,282215,Investments,Yes,0.4,Commercial_Owned,Unemployed,0,436,31563251,Personal,60,Poor,Average,Cautious,Good,No,Very_Positive,0
1958-03-03,Female,Married,5,245657,Secondary,No,0.26,Commercial_Owned,Student,0,635,11009045,Business,24,N/A,Average,Consistent,Good,Yes,Very_Positive,0
1996-03-01,Male,Married,4,512875,Primary,Multiple,0.13,Commercial_Owned,Government,28,357,48690194,Business,12,Poor,Average,Impulsive,Poor,Yes,Negative,1
1981-04-05,Female,Married,3,911279,Primary,Multiple,0.23,Commercial_Rented,Government,24,408,42317239,Wedding,48,Poor,Average,Aggressive,Good,Yes,Positive,1
1961-03-02,Female,Married,5,344629,Investments,No,0.79,Rented,Student,0,695,35927767,Education,300,Average,Poor,Aggressive,N/A,No,Negative,0
1968-12-09,Male,Single,5,974155,Rental_Income,Yes,0.07,Rented,Self-Employed,33,442,20288277,Vehicle,24,Average,Average,Aggressive,Poor,No,Very_Positive,1
2004-04-28,Female,Married,1,358856,Rental_Income,Yes,0.75,Commercial_Owned,Unemployed,0,634,40753644,Medical,108,Poor,Poor,Aggressive,Poor,Yes,Neutral,0
1954-01-05,Female,Single,8,440092,Secondary,No,0.69,Commercial_Rented,Unemployed,0,683,39056447,Education,72,N/A,N/A,Aggressive,Poor,No,Negative,0
1966-08-10,Female,Married,6,135407,Primary,Yes,0.4,Commercial_Rented,Unemployed,0,441,41231604,Medical,72,Poor,Poor,Consistent,Poor,No,Positive,0
1969-02-13,Female,Married,7,834863,Secondary,Multiple,0.77,Commercial_Owned,Government,38,507,15949930,Personal,360,Poor,Good,Cautious,Good,No,Negative,1
1950-02-01,Female,Married,10,832013,Investments,Multiple,0.02,Commercial_Owned,Self-Employed,15,595,5450355,Home,84,Poor,Poor,Consistent,Average,No,Neutral,0
2000-03-02,Female,Single,7,845131,Pension,No,0.43,Joint_Ownership,Salaried,2,864,34557308,Business,24,Poor,Poor,Cautious,Poor,Yes,Neutral,1
1979-10-09,Female,Single,10,399906,Primary,No,0.85,Commercial_Owned,Government,11,661,46231020,Vehicle,240,Average,N/A,Aggressive,Poor,No,Negative,0
1954-05-16,Male,Single,2,464076,Pension,No,0.65,Commercial_Rented,Student,0,636,8154502,Business,24,N/A,Good,Erratic,Poor,No,Positive,0
1965-12-12,Female,Married,2,436553,Multiple,Multiple,0.85,Joint_Ownership,Unemployed,0,333,43684639,Medical,12,Average,Good,Impulsive,Good,Yes,Neutral,0
1994-01-15,Male,Married,1,607436,Multiple,Multiple,0.72,Commercial_Rented,Government,26,591,8966311,Business,96,N/A,N/A,Impulsive,Average,Yes,Very_Negative,0
1966-05-27,Male,Married,5,701568,Pension,Yes,0.55,Owned,Self-Employed,34,842,3475334,Education,72,Good,N/A,Consistent,Poor,No,Neutral,1
2005-02-03,Female,Single,4,944434,Investments,Multiple,0.17,Owned,Retired,0,549,47490659,Medical,24,Average,Poor,Consistent,Average,Yes,Neutral,0
1998-08-06,Female,Married,7,946321,Secondary,No,0.73,Joint_Ownership,Retired,0,871,47355434,Vehicle,108,N/A,Good,Impulsive,Good,No,Negative,1
1964-06-18,Male,Married,9,261988,Investments,No,0.84,Commercial_Rented,Retired,0,632,6292971,Vehicle,24,Poor,Good,Cautious,Good,Yes,Neutral,0
2004-10-06,Male,Married,3,429409,Primary,Yes,0.76,Commercial_Owned,Government,21,575,25653409,Medical,72,Average,Good,Aggressive,Good,Yes,Positive,1
1981-12-22,Female,Single,3,663750,Primary,Yes,0.04,Joint_Ownership,Retired,0,794,49188942,Wedding,36,N/A,Average,Cautious,N/A,No,Very_Positive,1
1956-10-20,Female,Single,3,607666,Investments,No,0.82,Commercial_Rented,Government,24,547,22007696,Vehicle,240,Good,Poor,Impulsive,Good,Yes,Neutral,0
1982-07-05,Female,Single,8,569878,Rental_Income,Yes,0.51,Rented,Self-Employed,13,407,43591787,Medical,300,Good,Good,Aggressive,Poor,Yes,Negative,0
1993-08-06,Male,Single,0,599789,Rental_Income,Yes,0.08,Commercial_Rented,Student,0,401,49701579,Personal,72,Poor,Poor,Impulsive,Poor,No,Neutral,0
1965-10-12,Female,Married,4,158532,Pension,Yes,0.3,Rented,Salaried,37,877,28573836,Home,12,Good,Poor,Impulsive,Average,Yes,Neutral,1
1950-01-09,Female,Married,5,855340,Pension,Yes,0.55,Joint_Ownership,Government,0,652,3105102,Debt_Consolidation,96,Average,N/A,Cautious,N/A,No,Very_Negative,1
1977-04-02,Female,Single,6,272875,Rental_Income,Yes,0.6,Commercial_Rented,Student,0,393,29286699,Personal,96,Average,Average,Consistent,N/A,Yes,Positive,0
1993-08-17,Male,Married,2,910721,Investments,Multiple,0.39,Commercial_Owned,Student,0,409,25147782,Education,120,N/A,N/A,Erratic,Good,Yes,Positive,1
1967-06-21,Male,Single,1,206731,Investments,Yes,0.12,Rented,Retired,0,397,45356946,Personal,72,Poor,N/A,Consistent,Poor,No,Positive,0
1971-11-19,Female,Married,0,391653,Pension,Yes,0.56,Rented,Self-Employed,33,757,42403754,Debt_Consolidation,300,N/A,Average,Aggressive,Good,Yes,Negative,0
1998-07-13,Male,Married,8,936901,Rental_Income,Yes,0.41,Commercial_Owned,Retired,0,447,42829424,Travel,108,Poor,Poor,Impulsive,N/A,No,Neutral,0
1972-12-09,Male,Single,5,138335,Rental_Income,No,0.08,Commercial_Rented,Student,0,399,33818242,Travel,120,Poor,N/A,Cautious,Average,No,Negative,0
1995-03-12,Male,Single,4,73835,Rental_Income,Multiple,0.08,Joint_Ownership,Unemployed,0,842,27458487,Education,180,Poor,Good,Impulsive,Good,No,Very_Negative,0
1986-01-14,Female,Married,5,527655,Rental_Income,Multiple,0.56,Joint_Ownership,Retired,0,329,7513036,Home,36,Average,Poor,Consistent,N/A,Yes,Positive,0
1986-02-19,Male,Single,6,803239,Pension,No,0.66,Owned,Student,0,854,15072514,Debt_Consolidation,84,Average,Poor,Aggressive,Poor,No,Very_Negative,0
1994-04-07,Male,Married,0,435618,Pension,Multiple,0.36,Owned,Salaried,22,866,32721657,Wedding,180,Good,Average,Erratic,N/A,Yes,Very_Negative,1
1999-06-06,Female,Single,3,270487,Investments,No,0.84,Owned,Salaried,35,829,33450405,Debt_Consolidation,96,Good,Good,Cautious,N/A,Yes,Very_Positive,1
1993-12-10,Female,Single,5,461568,Rental_Income,No,0.24,Joint_Ownership,Self-Employed,23,537,47550966,Education,240,Average,Poor,Impulsive,Average,No,Very_Negative,0
1999-02-13,Female,Married,5,902051,Pension,Multiple,0.82,Owned,Self-Employed,13,554,23959327,Debt_Consolidation,48,Good,Good,Impulsive,N/A,No,Neutral,1
1984-02-06,Male,Married,2,577782,Primary,No,0.25,Owned,Student,0,866,1923158,Wedding,120,Average,Average,Consistent,N/A,Yes,Positive,1
1958-01-04,Female,Married,10,671397,Multiple,No,0.28,Rented,Retired,0,356,9199077,Wedding,300,Good,Average,Aggressive,Average,No,Positive,1
1977-01-28,Female,Married,3,372443,Primary,Multiple,0.84,Joint_Ownership,Student,0,803,28047758,Personal,72,Good,Poor,Impulsive,Good,Yes,Positive,0
1979-11-22,Female,Married,4,959375,Pension,Multiple,0.18,Joint_Ownership,Retired,0,660,34810029,Travel,240,N/A,N/A,Erratic,Good,Yes,Negative,1
2005-05-21,Female,Single,7,507353,Secondary,No,0.35,Joint_Ownership,Salaried,1,306,36495229,Home,36,Poor,Average,Aggressive,Good,Yes,Very_Positive,0
1984-05-27,Female,Married,2,953817,Rental_Income,Multiple,0.38,Owned,Salaried,6,477,4578284,Business,180,N/A,Good,Consistent,Good,No,Positive,1
1962-11-16,Female,Single,5,147875,Rental_Income,No,0.6,Commercial_Rented,Government,39,467,15441402,Wedding,36,Good,Average,Cautious,Poor,No,Positive,0
2004-04-06,Female,Single,9,355407,Multiple,Yes,0.54,Commercial_Rented,Government,23,701,33252903,Debt_Consolidation,300,Average,Average,Cautious,Poor,No,Very_Negative,1
1974-04-19,Female,Single,8,48024,Primary,Yes,0.17,Joint_Ownership,Government,39,790,10629292,Home,108,N/A,Good,Impulsive,Average,Yes,Negative,1
2002-10-16,Male,Married,0,409548,Investments,Yes,0.89,Rented,Government,31,631,4315006,Personal,48,Average,Good,Erratic,Average,No,Positive,1
1994-06-16,Female,Single,10,304534,Pension,Yes,0.77,Commercial_Owned,Student,0,488,14790325,Business,24,Poor,Poor,Consistent,Average,No,Very_Positive,0
1985-03-14,Female,Single,2,183824,Secondary,Yes,0.8,Commercial_Owned,Unemployed,0,600,16700445,Personal,300,Poor,Poor,Cautious,Good,No,Very_Negative,0
2005-06-25,Female,Single,1,443232,Pension,No,0.14,Joint_Ownership,Self-Employed,19,628,2246593,Debt_Consolidation,180,Average,N/A,Cautious,Average,No,Neutral,0
1980-02-24,Female,Married,4,938618,Secondary,No,0.39,Owned,Student,0,458,44568224,Debt_Consolidation,240,N/A,Average,Cautious,N/A,No,Negative,0
1966-11-17,Female,Married,9,242821,Secondary,Yes,0.2,Owned,Salaried,26,379,43515542,Debt_Consolidation,48,N/A,Good,Cautious,Good,No,Very_Negative,0
1951-07-24,Male,Married,0,223375,Investments,No,0.79,Commercial_Rented,Self-Employed,35,470,5310370,Education,360,N/A,Poor,Consistent,Good,Yes,Positive,0
2004-08-10,Female,Married,7,39316,Secondary,No,0.41,Commercial_Rented,Salaried,16,496,177057,Vehicle,12,N/A,Average,Erratic,Good,No,Positive,0
1954-05-07,Female,Married,3,404704,Primary,Yes,0.69,Commercial_Rented,Unemployed,0,723,30158738,Debt_Consolidation,120,Average,Good,Cautious,N/A,No,Very_Negative,0
1972-11-15,Female,Single,9,71942,Investments,No,0.61,Rented,Government,21,688,30025240,Education,84,Poor,N/A,Erratic,N/A,No,Very_Negative,0
1962-09-13,Female,Single,9,781326,Secondary,Multiple,0.63,Joint_Ownership,Government,20,511,49013271,Home,240,Average,Good,Consistent,N/A,No,Very_Positive,0
2002-05-22,Female,Single,1,382985,Multiple,Multiple,0.3,Commercial_Owned,Self-Employed,25,511,16843596,Business,120,Average,Good,Consistent,Poor,No,Very_Positive,1
1990-08-05,Female,Married,2,952050,Secondary,Yes,0.19,Joint_Ownership,Self-Employed,0,863,15136909,Personal,360,N/A,Good,Consistent,Good,No,Positive,1
1984-06-02,Female,Single,2,768983,Secondary,Yes,0.65,Rented,Student,0,321,44685816,Wedding,12,N/A,Good,Cautious,Good,No,Very_Negative,0
1979-08-13,Male,Married,5,404320,Pension,Yes,0.55,Rented,Government,5,598,41095004,Travel,24,Good,Average,Erratic,N/A,Yes,Negative,0
1962-10-02,Female,Single,10,944720,Investments,Yes,0.78,Commercial_Rented,Unemployed,0,777,38571705,Wedding,96,Good,Poor,Consistent,Poor,No,Positive,0
1981-05-10,Female,Single,7,684619,Investments,Yes,0.67,Commercial_Owned,Retired,0,760,49700269,Business,240,Average,Good,Aggressive,N/A,Yes,Very_Positive,1
1967-12-22,Female,Single,8,269746,Secondary,Yes,0.83,Commercial_Owned,Student,0,510,24768040,Wedding,300,Average,Average,Cautious,Poor,No,Very_Positive,0
1990-11-16,Female,Single,10,580935,Secondary,Yes,0.07,Commercial_Owned,Salaried,2,548,20857494,Business,84,N/A,Good,Cautious,Average,Yes,Very_Negative,1
1958-12-23,Male,Single,1,554996,Rental_Income,No,0.85,Commercial_Owned,Student,0,797,31550360,Personal,24,Good,N/A,Aggressive,N/A,Yes,Very_Negative,0
1985-05-04,Female,Single,5,325813,Multiple,Multiple,0.26,Rented,Student,0,790,11218120,Home,36,N/A,Poor,Consistent,Average,No,Positive,1
1953-07-09,Male,Single,7,518915,Investments,Multiple,0.33,Rented,Student,0,494,19231016,Debt_Consolidation,120,Poor,N/A,Erratic,Good,Yes,Neutral,0
1954-04-17,Female,Single,6,394983,Investments,No,0.64,Commercial_Rented,Self-Employed,30,635,41685980,Home,60,Good,Poor,Consistent,Poor,Yes,Positive,0
1964-01-13,Male,Single,7,885177,Pension,No,0.82,Owned,Student,0,403,22432298,Wedding,12,Average,Poor,Consistent,Good,Yes,Negative,0
1952-07-17,Male,Married,1,92306,Rental_Income,No,0.33,Rented,Salaried,17,325,34556621,Travel,120,N/A,N/A,Cautious,Average,No,Very_Positive,0
1966-08-25,Female,Single,0,556880,Pension,Yes,0.33,Commercial_Owned,Salaried,28,503,40653807,Travel,72,N/A,Good,Consistent,Good,Yes,Negative,1
2005-04-02,Male,Married,1,140154,Primary,Multiple,0.55,Joint_Ownership,Salaried,15,307,17763415,Medical,120,N/A,Poor,Impulsive,N/A,Yes,Positive,0
1996-01-01,Female,Married,6,774200,Pension,Multiple,0.63,Rented,Retired,0,550,4627715,Vehicle,72,N/A,Good,Aggressive,N/A,No,Very_Positive,0
1983-08-18,Female,Married,2,690256,Pension,Yes,0.51,Owned,Government,25,791,37323646,Personal,60,Poor,Average,Cautious,Poor,No,Very_Positive,1
1994-04-11,Male,Married,7,804230,Primary,No,0.79,Joint_Ownership,Retired,0,806,13822249,Personal,12,Average,N/A,Aggressive,Average,Yes,Very_Positive,1
1990-08-25,Female,Single,9,191064,Rental_Income,Multiple,0.66,Rented,Student,0,340,27334146,Travel,108,Poor,Good,Cautious,Good,No,Positive,0
